Age,primaryStreamingService,hoursPerDay,whileWorking,favGenre,Anxiety,Depression,Insomnia,OCD,musicEffects
13,Spotify,6,Yes,Rap,4,0,0,2,Worsen
16,Spotify,4,Yes,Rock,3,0,6,9,Improve
18,Spotify,6,Yes,Rock,5,1,6,0,Improve
21,Spotify,4,Yes,Metal,10,6,8,0,Improve
17,Spotify,1.5,Yes,Classical,7,5,1,2,noEffect
24,Apple Music,2,Yes,Rock,7,7,0,4,noEffect
14,Apple Music,2,Yes,Pop,6,0,0,0,Improve
25,Spotify,4,Yes,Rock,6,2,3,2,Improve
22,Spotify,3,Yes,Lofi,7,6,7,9,Improve
20,I do not use a streaming service.,4,Yes,Rock,5,7,7,0,noEffect
23,Spotify,2,Yes,Pop,7,6,4,3,Improve
61,Pandora,2,Yes,Rock,2,2,2,0,Improve
24,Spotify,6,Yes,Video game music,9,5,0,7,Improve
34,Spotify,0,No,Rock,3,7,8,0,Worsen
49,Spotify,1,No,Pop,4,5,9,1,Improve
33,I do not use a streaming service.,4,Yes,Rock,1,0,7,0,Improve
22,I do not use a streaming service.,2,No,Metal,3,2,0,2,noEffect
38,Spotify,3,Yes,Metal,1,6,1,2,Improve
23,YouTube Music,4,No,Hip hop,8,10,4,0,noEffect
34,I do not use a streaming service.,2,No,Video game music,8,10,10,0,noEffect
40,Other streaming service,3,Yes,Metal,3,0,8,1,noEffect
